city,state,lat,long
College Station,Texas,30.58,-96.29 
Fairfield,California,38.25,-122.03 
Wilmington,North Carolina,34.20,-77.88 
North Charleston,South Carolina,32.91,-80.06 
Billings,Montana,45.78,-108.54 
West Palm Beach,Florida,26.74,-80.12 
Berkeley,California,37.86,-122.29 
Cambridge,Massachusetts,42.37,-71.11 
Clearwater,Florida,27.97,-82.76 
West Jordan,Utah,40.60,-112.00 
Evansville,Indiana,37.98,-87.53 
Richardson,Texas,32.97,-96.70 
Broken Arrow,Oklahoma,36.03,-95.78 
Richmond,California,37.95,-122.36 
League City,Texas,29.49,-95.10 
Manchester,New Hampshire,42.98,-71.44 
Lakeland,Florida,28.05,-81.95 
Carlsbad,California,33.12,-117.28 
Antioch,California,37.97,-121.79 
Westminster,Colorado,39.88,-105.06 
High Point,North Carolina,35.99,-79.99 
Provo,Utah,40.24,-111.64 
Lowell,Massachusetts,42.63,-71.32 
Elgin,Illinois,42.03,-88.32 
Waterbury,Connecticut,41.55,-73.03 
Springfield,Illinois,39.79,-89.64 
Gresham,Oregon,45.50,-122.44 
Murrieta,California,33.57,-117.19 
Lewisville,Texas,33.04,-96.98 
Las Cruces,New Mexico,32.32,-106.78 
Lansing,Michigan,42.71,-84.55 
Beaumont,Texas,30.08,-94.14 
Odessa,Texas,31.88,-102.34 
Pueblo,Colorado,38.26,-104.61 
Peoria,Illinois,40.75,-89.61 
Downey,California,33.93,-118.13 
Pompano Beach,Florida,26.24,-80.13 
Miami Gardens,Florida,25.94,-80.24 
Temecula,California,33.49,-117.13 
Everett,Washington,47.95,-122.19 
Costa Mesa,California,33.66,-117.91 
Ventura[aa],California,34.26,-119.25 
Sparks,Nevada,39.55,-119.73 
Santa Maria,California,34.93,-120.44 
Sugar Land,Texas,29.59,-95.61 
Greeley,Colorado,40.41,-104.76 
South Fulton,Georgia,33.59,-84.67 
Dearborn,Michigan,42.31,-83.21 
Concord,North Carolina,35.40,-80.60 
Edison,New Jersey,40.52,-74.41 
Tyler,Texas,32.31,-95.30 
Sandy Springs,Georgia,33.93,-84.36 
West Covina,California,34.05,-117.90 
Green Bay,Wisconsin,44.52,-87.98 
Centennial,Colorado,39.59,-104.86 
Jurupa Valley,California,34.00,-117.46 
El Monte,California,34.07,-118.02 
Allen,Texas,33.09,-96.66 
Hillsboro,Oregon,45.52,-122.93 
Menifee,California,33.69,-117.19 
Nampa,Idaho,43.57,-116.56 
Spokane Valley,Washington,47.67,-117.23 
Rio Rancho,New Mexico,35.29,-106.67 
Brockton,Massachusetts,42.08,-71.02 
El Cajon,California,32.80,-116.96 
Burbank,California,34.19,-118.32 
Inglewood,California,33.95,-118.34 
